"answer","option1","option2","option3","subject","question","explanation"
"Obi-Wan vs. Anakin Duel","Kaminoan Cloning Technology","Mustafarian Lava Flows","Order 66 Execution","Star Wars","What climactic lightsaber duel takes place on the volcanic planet Mustafar in 'Revenge of the Sith'?","The climactic lightsaber duel between Obi-Wan Kenobi and Anakin Skywalker takes place on the volcanic planet Mustafar in 'Revenge of the Sith'."
"Order 66 Execution","Kaminoan Cloning Technology","Mustafarian Lava Flows","Imperial Probe Droid","Star Wars","What event marks the execution of Order 66, leading to the mass betrayal of Jedi by clone troopers in 'Revenge of the Sith'?","The execution of Order 66 marks the mass betrayal of Jedi by clone troopers in 'Revenge of the Sith'."
"Mustafarian Lava Flows","Kaminoan Cloning Technology","Imperial Probe Droid","Galactic Credit Standard","Star Wars","Where on the planet Mustafar do Anakin Skywalker and Obi-Wan Kenobi have their epic lightsaber duel in 'Revenge of the Sith'?","Anakin Skywalker and Obi-Wan Kenobi have their epic lightsaber duel on the Mustafarian Lava Flows in 'Revenge of the Sith'."
"Kaminoan Cloning Technology","Imperial Probe Droid","The HoloNet","Galactic Credit Standard","Star Wars","What advanced cloning technology is used on the planet Kamino to create the clone troopers in the Star Wars prequel trilogy?","Kaminoan Cloning Technology is used on the planet Kamino to create the clone troopers in the Star Wars prequel trilogy."
"Imperial Probe Droid","The HoloNet","Galactic Credit Standard","Trade Federation Battleship","Star Wars","What type of droid is deployed by the Galactic Empire to gather information in 'The Empire Strikes Back'?","The Imperial Probe Droid is deployed by the Galactic Empire to gather information in 'The Empire Strikes Back'."
"Galactic Credit Standard","Aurra Sing","The HoloNet","Trade Federation Battleship","Star Wars","What is the primary currency used in the galaxy far, far away in the Star Wars universe?","The Galactic Credit Standard is the primary currency used in the galaxy far, far away in the Star Wars universe."
"The HoloNet","Aurra Sing","Battle of Crait","Trade Federation Battleship","Star Wars","What vast communication network is used for transmitting news, information, and entertainment in the Star Wars galaxy?","The HoloNet is the vast communication network used for transmitting news, information, and entertainment in the Star Wars galaxy."
"Trade Federation Battleship","AT-M6 Walker","Aurra Sing","Battle of Crait","Star Wars","What type of starship is used by the Trade Federation to blockade Naboo in 'The Phantom Menace'?","The Trade Federation uses Trade Federation Battleships to blockade Naboo in 'The Phantom Menace'."
"Aurra Sing","AT-M6 Walker","Resistance Jacket","Battle of Crait","Star Wars","Which bounty hunter is known for her skilled marksmanship and appearance in 'The Phantom Menace'?","Aurra Sing is the bounty hunter known for her skilled marksmanship and appearance in 'The Phantom Menace'."
"Battle of Crait","AT-M6 Walker","Resistance Jacket","Podracing on Tatooine","Star Wars","In which battle does the Resistance make its final stand against the First Order in 'The Last Jedi'?","The Resistance makes its final stand against the First Order in the Battle of Crait in 'The Last Jedi'."
"AT-M6 Walker","Resistance Jacket","Podracing on Tatooine","Boonta Eve Classic","Star Wars","What type of walker is used by the First Order during the Battle of Crait in 'The Last Jedi'?","The First Order uses AT-M6 Walkers during the Battle of Crait in 'The Last Jedi'."
"Resistance Jacket","Force Lightning","Podracing on Tatooine","Boonta Eve Classic","Star Wars","What clothing item is worn by Finn when he joins the Resistance in 'The Force Awakens'?","Finn wears a Resistance Jacket when he joins the Resistance in 'The Force Awakens'."
"The Resistance Bomber","Kyber Crystals","Praetorian Guards","Salt Flats of Crait","Star Wars","What type of starship is used by the Resistance in the opening battle of 'The Last Jedi'?","The Resistance Bomber is the type of starship used by the Resistance in the opening battle of 'The Last Jedi'."
"Praetorian Guards","Kyber Crystals","The Jedi Code","Salt Flats of Crait","Star Wars","Who are the elite warriors that serve as the personal bodyguards to Supreme Leader Snoke in 'The Last Jedi'?","The Praetorian Guards are the elite warriors that serve as the personal bodyguards to Supreme Leader Snoke in 'The Last Jedi'."
"Salt Flats of Crait","Kyber Crystals","Force Visions","The Jedi Code","Star Wars","Where is the final battle between the Resistance and the First Order fought in 'The Last Jedi'?","The final battle between the Resistance and the First Order is fought on the Salt Flats of Crait in 'The Last Jedi'."
"Kyber Crystals","Force Visions","The Dark Side of the Force","The Jedi Code","Star Wars","What rare crystals are used by Jedi and Sith to power their lightsabers in the Star Wars universe?","Kyber Crystals are the rare crystals used by Jedi and Sith to power their lightsabers in the Star Wars universe."
"The Jedi Code","Force Visions","The Dark Side of the Force","Bib Fortuna","Star Wars","What is the guiding philosophical and moral code followed by the Jedi Order in the Star Wars galaxy?","The Jedi Code is the guiding philosophical and moral code followed by the Jedi Order in the Star Wars galaxy."
"Force Visions","The Dark Side of the Force","Bib Fortuna","Gamorrean Guards","Star Wars","What are the prophetic and often symbolic glimpses of the future or past experienced by Force-sensitive individuals in Star Wars?","Force Visions are the prophetic and often symbolic glimpses of the future or past experienced by Force-sensitive individuals in Star Wars."
"The Dark Side of the Force","Oola","Bib Fortuna","Gamorrean Guards","Star Wars","What is the aspect of the Force associated with anger, hatred, and aggression in the Star Wars universe?","The Dark Side of the Force is the aspect of the Force associated with anger, hatred, and aggression in the Star Wars universe."
"Bib Fortuna","Oola","The Rancor Pit","Gamorrean Guards","Star Wars","Who is the Twi'lek major-domo and right-hand man to Jabba the Hutt in 'Return of the Jedi'?","Bib Fortuna is the Twi'lek major-domo and right-hand man to Jabba the Hutt in 'Return of the Jedi'."
"Gamorrean Guards","Oola","The Rancor Pit","Cloud City","Star Wars","What species of guards serve as security personnel in Jabba the Hutt's palace in 'Return of the Jedi'?","Gamorrean Guards are the species of guards that serve as security personnel in Jabba the Hutt's palace in 'Return of the Jedi'."
"Oola","Cloud City","Carbonite Han Solo","The Rancor Pit","Star Wars","Which Twi'lek dancer and slave girl meets a tragic fate in 'Return of the Jedi' by falling into the Rancor pit?","Oola is the Twi'lek dancer and slave girl who meets a tragic fate in 'Return of the Jedi' by falling into the Rancor pit."
"The Rancor Pit","Cloud City","Carbonite Han Solo","Rancor Keeper","Star Wars","Where on Tatooine does Jabba the Hutt keep a dangerous creature that he uses to execute prisoners in 'Return of the Jedi'?","Jabba the Hutt keeps a dangerous creature in the Rancor Pit on Tatooine, which he uses to execute prisoners in 'Return of the Jedi'."
"Cloud City","Carbonite Han Solo","Death Star Trench Run","Rancor Keeper","Star Wars","What is the floating city in the clouds above the planet Bespin where Lando Calrissian is the administrator in 'The Empire Strikes Back'?","Cloud City is the floating city in the clouds above the planet Bespin where Lando Calrissian is the administrator in 'The Empire Strikes Back'."
"Carbonite Han Solo","Death Star Trench Run","Battle of Scarif","Rancor Keeper","Star Wars","In 'The Empire Strikes Back', in what form is Han Solo frozen in when he is captured by Darth Vader and Boba Fett?","Han Solo is frozen in carbonite in 'The Empire Strikes Back' when he is captured by Darth Vader and Boba Fett."
"Rancor Keeper","Death Star Trench Run","Battle of Scarif","The Ghost","Star Wars","Who is the individual responsible for caring for the Rancor in Jabba the Hutt's palace in 'Return of the Jedi'?","The Rancor Keeper is responsible for caring for the Rancor in Jabba the Hutt's palace in 'Return of the Jedi'."
"Death Star Trench Run","Battle of Scarif","Hera Syndulla","The Ghost","Star Wars","In 'A New Hope', what daring attack plan is used by Rebel pilots to destroy the first Death Star?","In 'A New Hope', Rebel pilots use the Death Star Trench Run as their daring attack plan to destroy the first Death Star."
"Battle of Scarif","Kanan Jarrus","Hera Syndulla","The Ghost","Star Wars","Which battle marks the theft of the Death Star plans by the Rebel Alliance, setting the stage for the events of 'A New Hope'?","The Battle of Scarif marks the theft of the Death Star plans by the Rebel Alliance, setting the stage for the events of 'A New Hope'."
"The Great Purge","Greef Karga","Kuiil","IG-11","Star Wars","What event in Mandalorian history involved the Empire purging Mandalore of its warriors and taking the Darksaber?","The Great Purge was an event in Mandalorian history that involved the Empire purging Mandalore of its warriors and taking the Darksaber."
"Kuiil","Greef Karga","Dark Troopers","IG-11","Star Wars","Who is the Ugnaught moisture farmer and former servant of the Empire in 'The Mandalorian'?","Kuiil is the Ugnaught moisture farmer and former servant of the Empire in 'The Mandalorian'."
"IG-11","Greef Karga","The Book of Boba Fett","Dark Troopers","Star Wars","What type of droid was reprogrammed to become a nurse droid in 'The Mandalorian' and was later given combat programming?","IG-11 was a type of droid reprogrammed to become a nurse droid in 'The Mandalorian' and was later given combat programming."
"Greef Karga","Dark Troopers","The Book of Boba Fett","Fennec Shand","Star Wars","Who is the leader of the Bounty Hunters' Guild on Nevarro in 'The Mandalorian'?","Greef Karga is the leader of the Bounty Hunters' Guild on Nevarro in 'The Mandalorian'."
"Dark Troopers","The Book of Boba Fett","Mayfeld","Fennec Shand","Star Wars","What advanced combat droids were deployed by Moff Gideon in 'The Mandalorian' to capture Grogu (Baby Yoda)?","Dark Troopers were advanced combat droids deployed by Moff Gideon in 'The Mandalorian' to capture Grogu (Baby Yoda)."
"Trandoshans","Life Debt","Exogorth","The B'omarr Monastery","Star Wars","Which reptilian species known for their hunting prowess appears as hunters in various Star Wars media, including 'The Clone Wars' series?","Trandoshans are the reptilian species known for their hunting prowess and appear as hunters in various Star Wars media, including 'The Clone Wars' series."
"The B'omarr Monastery","Imperial Security Bureau","Exogorth","Wrecker","Star Wars","What is the name of the monastic order that values intellect over the physical body and has a presence on Tatooine in the Star Wars universe?","The B'omarr Monastery is the name of the monastic order that values intellect over the physical body and has a presence on Tatooine in the Star Wars universe."
"Exogorth","Crosshair","Imperial Security Bureau","Wrecker","Star Wars","What is the scientific name for the giant space slug that lives inside asteroids and is encountered by the Millennium Falcon in 'The Empire Strikes Back'?","The Exogorth is the scientific name for the giant space slug that lives inside asteroids and is encountered by the Millennium Falcon in 'The Empire Strikes Back'."
"Imperial Security Bureau","Crosshair","Tech","Wrecker","Star Wars","What is the organization responsible for intelligence, espionage, and security within the Galactic Empire in the Star Wars universe?","The Imperial Security Bureau is the organization responsible for intelligence, espionage, and security within the Galactic Empire in the Star Wars universe."
"Womp Rats","Krayt Dragon Pearl","Tusken Raider Banthas","Revan","Star Wars","What small creatures from Tatooine are famously used as target practice for young Luke Skywalker in 'A New Hope'?","Womp Rats are the small creatures from Tatooine famously used as target practice for young Luke Skywalker in 'A New Hope'."
"Tusken Raider Banthas","Krayt Dragon Pearl","Malachor","Revan","Star Wars","What animals are often seen alongside Tusken Raiders in the deserts of Tatooine in the Star Wars universe?","Tusken Raider Banthas are animals often seen alongside Tusken Raiders in the deserts of Tatooine in the Star Wars universe."
"Malachor","The Ebon Hawk","The Bendu","Sith Holocron","Star Wars","Which ancient Sith planet is associated with dark side rituals and conflicts, including the Great Scourge of Malachor in Star Wars lore?","Malachor is the ancient Sith planet associated with dark side rituals and conflicts, including the Great Scourge of Malachor in Star Wars lore."
"Sith Holocron","The Ebon Hawk","The Bendu","Bao-Dur","Star Wars","What type of ancient artifact contains Sith teachings and knowledge, often sought after by dark side users in the Star Wars universe?","A Sith Holocron is a type of ancient artifact that contains Sith teachings and knowledge, often sought after by dark side users in the Star Wars universe."
"Ithorians","HK-47","Darth Revan","Agent Kallus","Star Wars","What species is known for its love of nature and environmental preservation in the Star Wars universe?","Ithorians are known for their love of nature and environmental preservation in the Star Wars universe."
"Knights of Ren","Kreia","The Jedi Exile","Atris","Star Wars","What group of dark side users is led by Kylo Ren and featured in the sequel trilogy of Star Wars films?","The Knights of Ren is the group of dark side users led by Kylo Ren and featured in the sequel trilogy of Star Wars films."
"Ahch-To","The Finalizer","Resistance Bomber","Supreme Leader Kylo Ren","Star Wars","Which remote planet serves as the location of the first Jedi Temple in the Star Wars sequel trilogy?","Ahch-To is the remote planet that serves as the location of the first Jedi Temple in the Star Wars sequel trilogy."
"Resistance Bomber","Graveyard","The Finalizer","Supreme Leader Kylo Ren","Star Wars","What type of starship is used by the Resistance to drop bombs on the First Order Dreadnought in 'The Last Jedi'?","The Resistance Bomber is the type of starship used by the Resistance to drop bombs on the First Order Dreadnought in 'The Last Jedi'."
"Supreme Leader Kylo Ren","Graveyard","The Finalizer","Pasaana","Star Wars","Who becomes the leader of the First Order after the death of Supreme Leader Snoke in 'The Last Jedi'?","Supreme Leader Kylo Ren becomes the leader of the First Order after the death of Supreme Leader Snoke in 'The Last Jedi'."
"The Finalizer","Graveyard","Sith Troopers","Pasaana","Star Wars","What is the name of the Resurgent-class Star Destroyer commanded by General Hux in the sequel trilogy of Star Wars films?","The Finalizer is the name of the Resurgent-class Star Destroyer commanded by General Hux in the sequel trilogy of Star Wars films."
"Graveyard","Sith Troopers","Exegol","Pasaana","Star Wars","What is the nickname given to the Starkiller Base's location in the Unknown Regions in 'The Force Awakens'?","Graveyard is the nickname given to the Starkiller Base's location in the Unknown Regions in 'The Force Awakens'."
"Pasaana","Sith Troopers","Exegol","Wayfinder","Star Wars","Which desert planet is the location of the Festival of the Ancestors in 'The Rise of Skywalker'?","Pasaana is the desert planet that serves as the location of the Festival of the Ancestors in 'The Rise of Skywalker'."
"Sith Troopers","The Sith Eternal","Exegol","Wayfinder","Star Wars","What is the name of the red-armored stormtroopers loyal to Emperor Palpatine in 'The Rise of Skywalker'?","Sith Troopers are the red-armored stormtroopers loyal to Emperor Palpatine in 'The Rise of Skywalker'."
"Exegol","Zorii Bliss","The Sith Eternal","Wayfinder","Star Wars","What hidden Sith planet serves as the secret base for Emperor Palpatine and the Sith Eternal in 'The Rise of Skywalker'?","Exegol is the hidden Sith planet that serves as the secret base for Emperor Palpatine and the Sith Eternal in 'The Rise of Skywalker'."
"Wayfinder","Zorii Bliss","Babu Frik","The Sith Eternal","Star Wars","What ancient Sith artifact is used to navigate the treacherous Sith navigational routes to Exegol in 'The Rise of Skywalker'?","A Wayfinder is an ancient Sith artifact used to navigate the treacherous Sith navigational routes to Exegol in 'The Rise of Skywalker'."
"The Sith Eternal","Zorii Bliss","Babu Frik","Crait Salt Skimmers","Star Wars","What is the name of the Sith cult loyal to Emperor Palpatine and responsible for his return in 'The Rise of Skywalker'?","The Sith Eternal is the name of the Sith cult loyal to Emperor Palpatine and responsible for his return in 'The Rise of Skywalker'."
"Zorii Bliss","Babu Frik","General Pryde","Crait Salt Skimmers","Star Wars","Who is the helmeted smuggler and former acquaintance of Poe Dameron in 'The Rise of Skywalker'?","Zorii Bliss is the helmeted smuggler and former acquaintance of Poe Dameron in 'The Rise of Skywalker'."
"Babu Frik","General Pryde","Rose Tico","Crait Salt Skimmers","Star Wars","What diminutive Anzellan droidsmith is known for his skills in reprogramming droids in 'The Rise of Skywalker'?","Babu Frik is the diminutive Anzellan droidsmith known for his skills in reprogramming droids in 'The Rise of Skywalker'."
"Crait Salt Skimmers","The Jedi Exile","General Pryde","Rose Tico","Star Wars","What type of vehicles are used by the Resistance on the salt-covered planet Crait in 'The Last Jedi'?","Crait Salt Skimmers are the type of vehicles used by the Resistance on the salt-covered planet Crait in 'The Last Jedi'."
"General Pryde","Kreia","The Jedi Exile","Rose Tico","Star Wars","Who is the high-ranking officer in the First Order and a member of the Sith Eternal in 'The Rise of Skywalker'?","General Pryde is the high-ranking officer in the First Order and a member of the Sith Eternal in 'The Rise of Skywalker'."
"Rose Tico","Kreia","The Jedi Exile","Atris","Star Wars","Who is the mechanic in the Resistance and the sister of Paige Tico in 'The Last Jedi'?","Rose Tico is the mechanic in the Resistance and the sister of Paige Tico in 'The Last Jedi'."
"Jannah","Burning of Teldrassil","Kijimi","Ochi of Bestoon","Star Wars","Who is the character from 'The Rise of Skywalker' known for leading a group of warriors on the planet Exegol?","Jannah is the character from 'The Rise of Skywalker' known for leading a group of warriors on the planet Exegol."
"Ochi of Bestoon","Burning of Teldrassil","Kijimi","Alderaanian Resistance","Star Wars","What is the name of the character who was a Sith assassin and responsible for a dagger that led to the wayfinder in 'The Rise of Skywalker'?","Ochi of Bestoon is the name of the character who was a Sith assassin and responsible for a dagger that led to the wayfinder in 'The Rise of Skywalker'."
"Kijimi","The Last Jedi","Burning of Teldrassil","Alderaanian Resistance","Star Wars","Which planet, destroyed by the First Order in 'The Rise of Skywalker', was home to the character Zorii Bliss?","Kijimi is the planet destroyed by the First Order in 'The Rise of Skywalker' and was home to the character Zorii Bliss."
"Burning of Teldrassil","The Last Jedi","Admiral Holdo","Alderaanian Resistance","Star Wars","What catastrophic event is associated with the planet Alderaan in the Star Wars universe?","The catastrophic event associated with the planet Alderaan in the Star Wars universe is its destruction by the Death Star in 'A New Hope'."
"Alderaanian Resistance","Admiral Holdo","The Last Jedi","The Supremacy","Star Wars","Which group of individuals formed to resist the tyranny of the Galactic Empire and were led by Princess Leia Organa in the original Star Wars trilogy?","The Alderaanian Resistance is the group of individuals that formed to resist the tyranny of the Galactic Empire and were led by Princess Leia Organa in the original Star Wars trilogy."
"Admiral Holdo","Porg Chewbacca","The Supremacy","Porglets","Star Wars","Who assumes command of the Resistance fleet in 'The Last Jedi' after Leia Organa is incapacitated?","Admiral Holdo assumes command of the Resistance fleet in 'The Last Jedi' after Leia Organa is incapacitated."
"The Supremacy","Porg Chewbacca","Anoat System","Porglets","Star Wars","What is the name of the massive First Order dreadnought that serves as the flagship of Supreme Leader Snoke in 'The Last Jedi'?","The Supremacy is the name of the massive First Order dreadnought that serves as the flagship of Supreme Leader Snoke in 'The Last Jedi'."
"Porg Chewbacca","Lobot","Anoat System","Porglets","Star Wars","What Star Wars character forms an endearing bond with the Porgs on the planet Ahch-To in 'The Last Jedi'?","Chewbacca forms an endearing bond with the Porgs on the planet Ahch-To in 'The Last Jedi'."
"Porglets","Lobot","Anoat System","The Slave I","Star Wars","What are the baby Porgs, small avian creatures seen on Ahch-To In 'The Last Jedi', often referred to as?","The baby Porgs, small avian creatures seen on Ahch-To In 'The Last Jedi', are often referred to as Porglets."
"Anoat System","Bossk","Lobot","The Slave I","Star Wars","In the Star Wars universe, what is the name of the star system where the planets Hoth and Bespin are located?","The Anoat System is the star system where the planets Hoth and Bespin are located in the Star Wars universe."
"Lobot","Bossk","The Slave I","Dengar","Star Wars","Who is the human cyborg character known for his cybernetic implant on the right side of his head and appears in 'The Empire Strikes Back'?","Lobot is the human cyborg character known for his cybernetic implant on the right side of his head and appears in 'The Empire Strikes Back'."
"The Slave I","Bossk","Dengar","IG-88","Star Wars","What is the name of Boba Fett's starship in the Star Wars franchise?","The Slave I is the name of Boba Fett's starship in the Star Wars franchise."
"Bossk","Dengar","IG-88","4-LOM","Star Wars","Which Trandoshan bounty hunter is known for his appearance in 'The Empire Strikes Back'?","Bossk is the Trandoshan bounty hunter known for his appearance in 'The Empire Strikes Back'."
"Dengar","Zuckuss","IG-88","4-LOM","Star Wars","Who is the bounty hunter in the Star Wars universe known for his distinctive headgear and bandages, appearing in 'The Empire Strikes Back'?","Dengar is the bounty hunter in the Star Wars universe known for his distinctive headgear and bandages, appearing in 'The Empire Strikes Back'."
"IG-88","Razor Crest","Zuckuss","4-LOM","Star Wars","Which assassin droid is one of the bounty hunters hired by Darth Vader in 'The Empire Strikes Back'?","IG-88 is the assassin droid who is one of the bounty hunters hired by Darth Vader in 'The Empire Strikes Back'."
"4-LOM","Razor Crest","Jannah","Zuckuss","Star Wars","What is the name of the protocol droid who becomes a bounty hunter and partners with IG-88 in 'The Empire Strikes Back'?","4-LOM is the name of the protocol droid who becomes a bounty hunter and partners with IG-88 in 'The Empire Strikes Back'."
"Zuckuss","Razor Crest","Jannah","Ochi of Bestoon","Star Wars","Which Gand bounty hunter is known for his tracking abilities and is part of the group hired by Darth Vader in 'The Empire Strikes Back'?","Zuckuss is the Gand bounty hunter known for his tracking abilities and is part of the group hired by Darth Vader in 'The Empire Strikes Back'."
"Razor Crest","Jannah","Kijimi","Ochi of Bestoon","Star Wars","What is the name of the starship used by Din Djarin, the Mandalorian, in the Disney+ series 'The Mandalorian'?","The Razor Crest is the name of the starship used by Din Djarin, the Mandalorian, in the Disney+ series 'The Mandalorian'."
"The Beskar Armor","Max Rebo Band","Salacious B. Crumb","Carbonite","Star Wars","What iconic Mandalorian armor is made from beskar, a rare and durable metal, in the Star Wars universe?","The iconic Mandalorian armor is made from beskar, a rare and durable metal in the Star Wars universe."
"Carbonite","The Battle of Endor","Max Rebo Band","Salacious B. Crumb","Star Wars","In 'The Empire Strikes Back', what freezing process is used to encase Han Solo in a block of metal?","In 'The Empire Strikes Back', Han Solo is encased in carbonite using a freezing process."
"Max Rebo Band","The Battle of Endor","The Battle of Jakku","Salacious B. Crumb","Star Wars","Which musical group, led by Max Rebo, performs at Jabba the Hutt's palace in 'Return of the Jedi'?","The Max Rebo Band is the musical group that performs at Jabba the Hutt's palace in 'Return of the Jedi'."
"Salacious B. Crumb","The Battle of Endor","The Battle of Jakku","Resistance Bombers","Star Wars","What is the name of Jabba the Hutt's cackling and mischievous court jester in 'Return of the Jedi'?","Salacious B. Crumb is the name of Jabba the Hutt's cackling and mischievous court jester in 'Return of the Jedi'."
"Resistance Bombers","The Canto Bight Casino","The Jedi Village","The Jedi Texts","Star Wars","In 'The Last Jedi', what type of starships, used by the Resistance, are involved in a bombing run against the First Order dreadnought?","In 'The Last Jedi', Resistance Bombers are involved in a bombing run against the First Order dreadnought."
"The Jedi Texts","The Jedi Village","Fathiers","The Canto Bight Casino","Star Wars","In 'The Last Jedi', what does Luke Skywalker initially plan to destroy, but later Rey saves?","In 'The Last Jedi', Luke Skywalker initially plans to destroy the ancient Jedi texts, but later Rey saves them from destruction."
"The Jedi Village","The Night Buzzard","Fathiers","The Canto Bight Casino","Star Wars","In 'The Last Jedi', what location on the planet Ahch-To houses the ruins of the first Jedi Temple?","The Jedi Village on the planet Ahch-To houses the ruins of the first Jedi Temple in 'The Last Jedi'."
"The Canto Bight Casino","The Battle of Exegol","The Night Buzzard","Fathiers","Star Wars","What opulent casino city is featured In 'The Last Jedi', where Finn and Rose go on a mission to find a master codebreaker?","The opulent casino city featured in 'The Last Jedi' is Canto Bight, where Finn and Rose go on a mission to find a master codebreaker."
"Fathiers","The Battle of Exegol","The Night Buzzard","The Sith Wayfinders","Star Wars","What are the large, horse-like creatures that are ridden during a chase scene in 'The Last Jedi' on the casino city of Canto Bight?","Fathiers are the large, horse-like creatures ridden during a chase scene in 'The Last Jedi' on the casino city of Canto Bight."
"The Night Buzzard","The Battle of Exegol","The Sith Wayfinders","Wayfinder Activation","Star Wars","What is the name of the starship used by the Knights of Ren, a group of dark side Force users, in 'The Rise of Skywalker'?","The Night Buzzard is the name of the starship used by the Knights of Ren in 'The Rise of Skywalker'."
"The Battle of Exegol","The Resistance Victory","The Sith Wayfinders","Wayfinder Activation","Star Wars","Which climactic battle takes place in 'The Rise of Skywalker', where the Resistance confronts the Sith Eternal fleet and the Final Order on the planet Exegol?","The climactic battle in 'The Rise of Skywalker' is the Battle of Exegol, where the Resistance confronts the Sith Eternal fleet and the Final Order on the planet Exegol."
"The Sith Wayfinders","The Resistance Victory","Wayfinder Activation","The Rise of Skywalker","Star Wars","In 'The Rise of Skywalker', what are the devices or artifacts used to navigate the treacherous Sith homeworld of Exegol?","The Sith Wayfinders are the devices or artifacts used to navigate the treacherous Sith homeworld of Exegol in 'The Rise of Skywalker'."
"Wayfinder Activation","The Resistance Victory","Thrawn Trilogy","The Rise of Skywalker","Star Wars","What process is required to activate the Sith Wayfinders in 'The Rise of Skywalker' and unlock the path to Exegol?","Wayfinder Activation is the process required to activate the Sith Wayfinders in 'The Rise of Skywalker' and unlock the path to Exegol."
"Savage Opress","Fifth Brother","The Grand Inquisitor","Seventh Sister","Star Wars","Who is the Dathomirian Nightbrother who becomes a powerful Sith apprentice and appears in the Star Wars: The Clone Wars animated series?","Savage Opress is the Dathomirian Nightbrother who becomes a powerful Sith apprentice in the Star Wars: The Clone Wars animated series."
"Cara Dune","Quill","The Armorer","Admiral Trench","Star Wars","Which character, portrayed by Gina Carano, is a former shock trooper turned mercenary in the Star Wars series The Mandalorian?","Cara Dune, portrayed by Gina Carano, is a former shock trooper turned mercenary in the Star Wars series The Mandalorian."
"Quill","Cade Skywalker","The Armorer","Admiral Trench","Star Wars","Who is the Ugnaught character in The Mandalorian who serves as a skilled mechanic and member of the crew of the Razor Crest starship?","Quill is the Ugnaught character in The Mandalorian who serves as a skilled mechanic and member of the crew of the Razor Crest starship."
"The Armorer","Cade Skywalker","Jaina Solo","Admiral Trench","Star Wars","In The Mandalorian, who is the skilled Mandalorian blacksmith responsible for forging and repairing beskar armor for members of her tribe?","The Armorer is the skilled Mandalorian blacksmith in The Mandalorian responsible for forging and repairing beskar armor."
"Admiral Trench","Cade Skywalker","Jaina Solo","Darth Caedus","Star Wars","Who is the Harch admiral and military strategist known for his cybernetic enhancements, who appears in Star Wars: The Clone Wars?","Admiral Trench is the Harch admiral and military strategist known for his cybernetic enhancements, who appears in Star Wars: The Clone Wars."
"Speeder","Bastila Shan","Exile","Malachor V","Star Wars","In the Star Wars universe, what is the common term for a small, repulsorlift vehicle used for personal transportation or as a mode of quick travel?","A speeder is the common term in the Star Wars universe for a small, repulsorlift vehicle used for personal transportation or as a mode of quick travel."
"Malachor V","Kreia","The Jedi Exile","Atris","Star Wars","In Star Wars lore, what is the name of the planet that serves as the site of a significant battle and a key event in the backstory of the character Darth Revan?","Malachor V is the name of the planet that serves as the site of a significant battle and a key event in the backstory of the character Darth Revan."
"The Old Republic Era","Galactic Starfighter","Satele Shan","Emperor Vitiate","Star Wars","In the Star Wars lore, what is the historical era set thousands of years before the events of the main films, known for its conflicts and the rise of the Sith Order?","The Old Republic Era is a historical era in Star Wars lore set thousands of years before the events of the main films."
"Captain Rex","Clone Commandos","Asajj Ventress","Arc Troopers","Star Wars","In Star Wars: The Clone Wars, who is the skilled clone trooper captain serving under Jedi General Anakin Skywalker, known for his leadership and loyalty to his fellow clones?","Captain Rex is the skilled clone trooper captain serving under Jedi General Anakin Skywalker in Star Wars: The Clone Wars, known for his leadership and loyalty to his fellow clones."
"Asajj Ventress","The Clone Wars Battles","Clone Commandos","Arc Troopers","Star Wars","Who is the dark side assassin and former Sith apprentice who appears in Star Wars: The Clone Wars, often as an antagonist to the Jedi and a key character in the series?","Asajj Ventress is the dark side assassin and former Sith apprentice who appears in Star Wars: The Clone Wars, often as an antagonist to the Jedi and a key character in the series."
"Arc Troopers","The Clone Wars Battles","Clone Commandos","Battle of Christophsis","Star Wars","What is the name of the elite clone trooper units in the Grand Army of the Republic, known for their advanced training, skills, and distinctive blue markings on their armor?","Arc Troopers is the name of the elite clone trooper units in the Grand Army of the Republic, known for their advanced training, skills, and distinctive blue markings on their armor."
"Clone Commandos","The Clone Wars Battles","Battle of Christophsis","Battle of Teth","Star Wars","What is the term used for the highly skilled and specialized clone troopers who often operated in small squads and were known for their versatility and adaptability?","Clone Commandos is the term used for the highly skilled and specialized clone troopers who often operated in small squads and were known for their versatility and adaptability."
"The Clone Wars Battles","Battle of Umbara","Battle of Christophsis","Battle of Teth","Star Wars","In Star Wars: The Clone Wars, what is the term used to refer to the various engagements, conflicts, and battles that occur throughout the Clone Wars era, including famous battles like Christophsis and Teth?","The Clone Wars Battles is the term used to refer to the various engagements, conflicts, and battles that occur throughout the Clone Wars era, including famous battles like Christophsis and Teth."
"Battle of Christophsis","Battle of Umbara","Battle of Teth","Battle of Ryloth","Star Wars","What is the name of the early battle in Star Wars: The Clone Wars where Anakin Skywalker and Obi-Wan Kenobi lead Republic forces against the Separatists on the planet Christophsis?","The Battle of Christophsis is the name of the early battle in Star Wars: The Clone Wars where Anakin Skywalker and Obi-Wan Kenobi lead Republic forces against the Separatists on the planet Christophsis."
"Battle of Teth","Battle of Kamino","Battle of Umbara","Battle of Ryloth","Star Wars","In Star Wars: The Clone Wars, which battle takes place on the remote planet Teth, where Anakin Skywalker and Ahsoka Tano attempt to rescue Jabba the Hutt's kidnapped son, Rotta?","In Star Wars: The Clone Wars, the Battle of Teth takes place on the remote planet Teth, where Anakin Skywalker and Ahsoka Tano attempt to rescue Jabba the Hutt's kidnapped son, Rotta."
